time,lat,lon,altitude,accuracy,speed,angle
1697716686003,41.4629679,-8.4326958,437.7,3.24,1.293,10.0
1697716687004,41.4629679,-8.4326958,437.7,3.24,1.293,11.0
1697716688004,41.4630142,-8.4326463,435.8,3.69,1.597,12.0
1697716689003,41.4630142,-8.4326463,435.8,3.69,1.597,8.0
1697716690003,41.4630142,-8.4326463,435.8,3.69,1.597,10.0
1697716691023,41.4630781,-8.4325856,430.5,4.02,1.972,16.0
1697716692023,41.4630781,-8.4325856,430.5,4.02,1.972,13.0
1697716693023,41.4631403,-8.4325312,427.2,4.41,2.259,15.0
1697716694024,41.4631403,-8.4325312,427.2,4.41,2.259,15.0
1697716695024,41.4631403,-8.4325312,427.2,4.41,2.259,14.0
1697716696023,41.4632082,-8.4324812,423.4,4.24,2.492,8.0
1697716697023,41.4632082,-8.4324812,423.4,4.24,2.492,10.0
1697716698043,41.4632082,-8.4324812,423.4,4.24,2.492,12.0
1697716699044,41.4632828,-8.4324256,420.1,4.60,2.752,13.0
1697716700043,41.4632828,-8.4324256,420.1,4.60,2.752,10.0
1697716701043,41.4633389,-8.4323794,416.9,4.34,3.030,11.0
1697716702044,41.4633389,-8.4323794,416.9,4.34,3.030,21.0
1697716703044,41.4633389,-8.4323794,416.9,4.34,3.030,13.0
1697716704063,41.4634178,-8.4323085,414.9,6.26,3.163,7.0
1697716705063,41.4634178,-8.4323085,414.9,6.26,3.163,6.0
1697716706063,41.4634178,-8.4323085,414.9,6.26,3.163,9.0
1697716707063,41.4634936,-8.4322431,412.7,10.35,3.189,7.0
1697716708063,41.4634936,-8.4322431,412.7,10.35,3.189,9.0
1697716709064,41.4634936,-8.4322431,412.7,10.35,3.189,6.0
1697716710084,41.4635718,-8.4321944,412.4,11.60,3.137,19.0
1697716711083,41.4635718,-8.4321944,412.4,11.60,3.137,6.0
1697716712083,41.4635718,-8.4321944,412.4,11.60,3.137,6.0
1697716713083,41.4636484,-8.4321614,413.0,14.35,3.080,8.0
1697716714104,41.4636484,-8.4321614,413.0,14.35,3.080,6.0
1697716715104,41.4636484,-8.4321614,413.0,14.35,3.080,6.0
1697716716103,41.4637173,-8.4321299,413.2,18.38,2.997,6.0
1697716717103,41.4637173,-8.4321299,413.2,18.38,2.997,7.0
1697716718104,41.4637173,-8.4321299,413.2,18.38,2.997,7.0
1697716719104,41.4637422,-8.4321307,413.4,18.66,0.383,6.0
1697716720103,41.4637422,-8.4321307,413.4,18.66,0.383,6.0
1697716721103,41.4637422,-8.4321307,413.4,18.66,0.383,7.0
1697716722104,41.4637515,-8.4321296,413.6,14.72,0.062,7.0
1697716723103,41.4637515,-8.4321296,413.6,14.72,0.062,7.0
1697716724123,41.4637515,-8.4321296,413.6,14.72,0.062,7.0
1697716725123,41.4637535,-8.4321315,413.5,11.68,0.000,7.0
1697716726283,41.4637535,-8.4321315,413.5,11.68,0.000,6.0
1697716727283,41.4637535,-8.4321315,413.5,11.68,0.000,7.0
1697716728370,41.4637414,-8.4321213,413.6,11.11,0.002,7.0
1697716729363,41.4637414,-8.4321213,413.6,11.11,0.002,7.0
1697716730362,41.4637414,-8.4321213,413.6,11.11,0.002,6.0
1697716731363,41.4637235,-8.432114,413.5,10.92,0.000,7.0
1697716732364,41.4637235,-8.432114,413.5,10.92,0.000,7.0
1697716733383,41.4637235,-8.432114,413.5,10.92,0.000,7.0
1697716734383,41.4637194,-8.4321122,413.5,11.40,0.000,6.0
1697716735384,41.4637194,-8.4321122,413.5,11.40,0.000,6.0
1697716736383,41.4637194,-8.4321122,413.5,11.40,0.000,7.0
1697716737383,41.4637185,-8.4321118,413.5,11.40,0.000,7.0
1697716738383,41.4637185,-8.4321118,413.5,11.40,0.000,7.0
1697716739403,41.4637185,-8.4321118,413.5,11.40,0.000,7.0
1697716740403,41.4637183,-8.4321117,413.5,11.40,0.000,7.0
